Sector,Demand_GWh,Share_%,Renewable_Status_GWh,Renewable_Target_GWh,Fossil_Status_GWh,Fossil_Target_GWh,Renewable_%_Status,Renewable_%_Target
KLIK,329.214,17.744592225913767,48.99970131513849,298.06961363186167,280.2142986848615,31.144386368138328,14.883844950439073,90.53977462436642
Gebäudewärme,798.867,43.0588284755176,118.90212564022409,723.2923813484373,679.9648743597759,75.57461865156267,14.883844950439071,90.53977462436642
Prozesswärme,555.395,29.935719013502997,82.66413066249108,502.8533812749999,472.7308693375089,52.54161872500009,14.883844950439071,90.53977462436642
Mobile Anwendungen,171.816,9.26086028506564,25.572827040046395,155.56181916860143,146.2431729599536,16.25418083139857,14.883844950439071,90.53977462436643
