Hierarchy,Unit,Status,Ziel,Notes
3. Laufwasser,,,,
3.1 Bodenfläche Nds.,ha,,,
3.1.1 Nutzanteil am techn. Potenzial,%,"79,0","79,0",
3.1.1.1 Energieertrag (techn. Potenzial),MWh/ha/a,"0,690","0,690",
3.1.1.2 Bruttostromerzeugung,GWh/a,,,
